t,energy,relative_drift
0,-0.000138783,0
0.01,-0.000138783,-5.48299e-12
0.02,-0.000138783,-1.09621e-11
0.03,-0.000138783,-1.64369e-11
0.04,-0.000138783,-2.19091e-11
0.05,-0.000138783,-2.73796e-11
0.06,-0.000138783,-3.28489e-11
0.07,-0.000138783,-3.8318e-11
0.08,-0.000138783,-4.37901e-11
0.09,-0.000138783,-4.92627e-11
0.1,-0.000138783,-5.47399e-11
0.11,-0.000138783,-6.0219e-11
0.12,-0.000138783,-6.57014e-11
0.13,-0.000138783,-7.11873e-11
0.14,-0.000138783,-7.66765e-11
0.15,-0.000138783,-8.21695e-11
0.16,-0.000138783,-8.76648e-11
0.17,-0.000138783,-9.3161e-11
0.18,-0.000138783,-9.86581e-11
0.19,-0.000138783,-1.04155e-10
0.2,-0.000138783,-1.09649e-10
0.21,-0.000138783,-1.15141e-10
0.22,-0.000138783,-1.20631e-10
0.23,-0.000138783,-1.26118e-10
0.24,-0.000138783,-1.31601e-10
0.25,-0.000138783,-1.37082e-10
0.26,-0.000138783,-1.42558e-10
0.27,-0.000138783,-1.48033e-10
0.28,-0.000138783,-1.53506e-10
0.29,-0.000138783,-1.58976e-10
0.3,-0.000138783,-1.64448e-10
0.31,-0.000138783,-1.69921e-10
0.32,-0.000138783,-1.75396e-10
0.33,-0.000138783,-1.80874e-10
0.34,-0.000138783,-1.86357e-10
0.35,-0.000138783,-1.91842e-10
0.36,-0.000138783,-1.97332e-10
0.37,-0.000138783,-2.02827e-10
0.38,-0.000138783,-2.08325e-10
0.39,-0.000138783,-2.13828e-10
0.4,-0.000138783,-2.19331e-10
0.41,-0.000138783,-2.24839e-10
0.42,-0.000138783,-2.30347e-10
0.43,-0.000138783,-2.35853e-10
0.44,-0.000138783,-2.41357e-10
0.45,-0.000138783,-2.46859e-10
0.46,-0.000138783,-2.52357e-10
0.47,-0.000138783,-2.57853e-10
0.48,-0.000138783,-2.63344e-10
0.49,-0.000138783,-2.6883e-10
0.5,-0.000138783,-2.74314e-10
0.51,-0.000138783,-2.79793e-10
0.52,-0.000138783,-2.85272e-10
0.53,-0.000138783,-2.90747e-10
0.54,-0.000138783,-2.96222e-10
0.55,-0.000138783,-3.01698e-10
0.56,-0.000138783,-3.07174e-10
0.57,-0.000138783,-3.12654e-10
0.58,-0.000138783,-3.18137e-10
0.59,-0.000138783,-3.23622e-10
0.6,-0.000138783,-3.29112e-10
0.61,-0.000138783,-3.34606e-10
0.62,-0.000138783,-3.40102e-10
0.63,-0.000138783,-3.456e-10
0.64,-0.000138783,-3.51101e-10
0.65,-0.000138783,-3.56603e-10
0.66,-0.000138783,-3.62103e-10
0.67,-0.000138783,-3.67604e-10
0.68,-0.000138783,-3.73099e-10
0.69,-0.000138783,-3.78594e-10
0.7,-0.000138783,-3.84084e-10
0.71,-0.000138783,-3.89569e-10
0.72,-0.000138783,-3.9505e-10
0.73,-0.000138783,-4.00528e-10
0.74,-0.000138783,-4.06001e-10
0.75,-0.000138783,-4.11471e-10
0.76,-0.000138783,-4.1694e-10
0.77,-0.000138783,-4.22407e-10
0.78,-0.000138783,-4.27873e-10
0.79,-0.000138783,-4.3334e-10
0.8,-0.000138783,-4.38811e-10
0.81,-0.000138783,-4.44286e-10
0.82,-0.000138783,-4.49762e-10
0.83,-0.000138783,-4.55243e-10
0.84,-0.000138783,-4.60728e-10
0.85,-0.000138783,-4.66216e-10
0.86,-0.000138783,-4.71708e-10
0.87,-0.000138783,-4.77205e-10
0.88,-0.000138783,-4.82702e-10
0.89,-0.000138783,-4.88201e-10
0.9,-0.000138783,-4.93701e-10
0.91,-0.000138783,-4.99201e-10
0.92,-0.000138783,-5.04699e-10
0.93,-0.000138783,-5.10195e-10
0.94,-0.000138783,-5.15688e-10
0.95,-0.000138783,-5.21179e-10
0.96,-0.000138783,-5.26665e-10
0.97,-0.000138783,-5.3215e-10
0.98,-0.000138783,-5.37632e-10
0.99,-0.000138783,-5.43111e-10
1,-0.000138783,-5.48589e-10
1.01,-0.000138783,-5.54065e-10
1.02,-0.000138783,-5.59543e-10
1.03,-0.000138783,-5.6502e-10
1.04,-0.000138783,-5.705e-10
1.05,-0.000138783,-5.75982e-10
1.06,-0.000138783,-5.81468e-10
1.07,-0.000138783,-5.86957e-10
1.08,-0.000138783,-5.9245e-10
1.09,-0.000138783,-5.97947e-10
1.1,-0.000138783,-6.03445e-10
1.11,-0.000138783,-6.08948e-10
1.12,-0.000138783,-6.14452e-10
1.13,-0.000138783,-6.19957e-10
1.14,-0.000138783,-6.25463e-10
1.15,-0.000138783,-6.30968e-10
1.16,-0.000138783,-6.36471e-10
1.17,-0.000138783,-6.41971e-10
1.18,-0.000138783,-6.47466e-10
1.19,-0.000138783,-6.52959e-10
1.2,-0.000138783,-6.58448e-10
1.21,-0.000138783,-6.63933e-10
1.22,-0.000138783,-6.69415e-10
1.23,-0.000138783,-6.74891e-10
1.24,-0.000138783,-6.80364e-10
1.25,-0.000138783,-6.85837e-10
1.26,-0.000138783,-6.91307e-10
1.27,-0.000138783,-6.96779e-10
1.28,-0.000138783,-7.02251e-10
1.29,-0.000138783,-7.07726e-10
1.3,-0.000138783,-7.13202e-10
1.31,-0.000138783,-7.18682e-10
1.32,-0.000138783,-7.24164e-10
1.33,-0.000138783,-7.29651e-10
1.34,-0.000138783,-7.3514e-10
1.35,-0.000138783,-7.40632e-10
1.36,-0.000138783,-7.46127e-10
1.37,-0.000138783,-7.51623e-10
1.38,-0.000138783,-7.5712e-10
1.39,-0.000138783,-7.62617e-10
1.4,-0.000138783,-7.68112e-10
1.41,-0.000138783,-7.73605e-10
1.42,-0.000138783,-7.79096e-10
1.43,-0.000138783,-7.84583e-10
1.44,-0.000138783,-7.90067e-10
1.45,-0.000138783,-7.95547e-10
1.46,-0.000138783,-8.01025e-10
1.47,-0.000138783,-8.06499e-10
1.48,-0.000138783,-8.11972e-10
1.49,-0.000138783,-8.17442e-10
1.5,-0.000138783,-8.22912e-10
1.51,-0.000138783,-8.28384e-10
1.52,-0.000138783,-8.33858e-10
1.53,-0.000138783,-8.39333e-10
1.54,-0.000138783,-8.44813e-10
1.55,-0.000138783,-8.50296e-10
1.56,-0.000138783,-8.55784e-10
1.57,-0.000138783,-8.61274e-10
1.58,-0.000138783,-8.6677e-10
1.59,-0.000138783,-8.72271e-10
1.6,-0.000138783,-8.77775e-10
1.61,-0.000138783,-8.83282e-10
1.62,-0.000138783,-8.8879e-10
1.63,-0.000138783,-8.94296e-10
1.64,-0.000138783,-8.99801e-10
1.65,-0.000138783,-9.05303e-10
1.66,-0.000138783,-9.10802e-10
1.67,-0.000138783,-9.16299e-10
1.68,-0.000138783,-9.2179e-10
1.69,-0.000138783,-9.27279e-10
1.7,-0.000138783,-9.32763e-10
1.71,-0.000138783,-9.38243e-10
1.72,-0.000138783,-9.43721e-10
1.73,-0.000138783,-9.49197e-10
1.74,-0.000138783,-9.54672e-10
1.75,-0.000138783,-9.60149e-10
1.76,-0.000138783,-9.65626e-10
1.77,-0.000138783,-9.71106e-10
1.78,-0.000138783,-9.76588e-10
1.79,-0.000138783,-9.82073e-10
1.8,-0.000138783,-9.87562e-10
1.81,-0.000138783,-9.93054e-10
1.82,-0.000138783,-9.9855e-10
1.83,-0.000138783,-1.00405e-09
1.84,-0.000138783,-1.00955e-09
1.85,-0.000138783,-1.01505e-09
1.86,-0.000138783,-1.02055e-09
1.87,-0.000138783,-1.02605e-09
1.88,-0.000138783,-1.03155e-09
1.89,-0.000138783,-1.03704e-09
1.9,-0.000138783,-1.04253e-09
1.91,-0.000138783,-1.04802e-09
1.92,-0.000138783,-1.0535e-09
1.93,-0.000138783,-1.05898e-09
1.94,-0.000138783,-1.06446e-09
1.95,-0.000138783,-1.06993e-09
1.96,-0.000138783,-1.0754e-09
1.97,-0.000138783,-1.08086e-09
1.98,-0.000138783,-1.08633e-09
1.99,-0.000138783,-1.0918e-09
2,-0.000138783,-1.09727e-09
2.01,-0.000138783,-1.10274e-09
2.02,-0.000138783,-1.10822e-09
2.03,-0.000138783,-1.11369e-09
2.04,-0.000138783,-1.11918e-09
2.05,-0.000138783,-1.12466e-09
2.06,-0.000138783,-1.13015e-09
2.07,-0.000138783,-1.13565e-09
2.08,-0.000138783,-1.14114e-09
2.09,-0.000138783,-1.14664e-09
2.1,-0.000138783,-1.15214e-09
2.11,-0.000138783,-1.15764e-09
2.12,-0.000138783,-1.16314e-09
2.13,-0.000138783,-1.16863e-09
2.14,-0.000138783,-1.17413e-09
2.15,-0.000138783,-1.17962e-09
2.16,-0.000138783,-1.18511e-09
2.17,-0.000138783,-1.1906e-09
2.18,-0.000138783,-1.19608e-09
2.19,-0.000138783,-1.20156e-09
2.2,-0.000138783,-1.20704e-09
2.21,-0.000138783,-1.21251e-09
2.22,-0.000138783,-1.21799e-09
2.23,-0.000138783,-1.22347e-09
2.24,-0.000138783,-1.22895e-09
2.25,-0.000138783,-1.23443e-09
2.26,-0.000138783,-1.23992e-09
2.27,-0.000138783,-1.24541e-09
2.28,-0.000138783,-1.2509e-09
2.29,-0.000138783,-1.25639e-09
2.3,-0.000138783,-1.26189e-09
2.31,-0.000138783,-1.26739e-09
2.32,-0.000138783,-1.2729e-09
2.33,-0.000138783,-1.2784e-09
2.34,-0.000138783,-1.28391e-09
2.35,-0.000138783,-1.28941e-09
2.36,-0.000138783,-1.29492e-09
2.37,-0.000138783,-1.30042e-09
2.38,-0.000138783,-1.30592e-09
2.39,-0.000138783,-1.31142e-09
2.4,-0.000138783,-1.31691e-09
2.41,-0.000138783,-1.32239e-09
2.42,-0.000138783,-1.32788e-09
2.43,-0.000138783,-1.33335e-09
2.44,-0.000138783,-1.33883e-09
2.45,-0.000138783,-1.3443e-09
2.46,-0.000138783,-1.34978e-09
2.47,-0.000138783,-1.35525e-09
2.48,-0.000138783,-1.36072e-09
2.49,-0.000138783,-1.36619e-09
2.5,-0.000138783,-1.37167e-09
2.51,-0.000138783,-1.37715e-09
2.52,-0.000138783,-1.38263e-09
2.53,-0.000138783,-1.38811e-09
2.54,-0.000138783,-1.3936e-09
2.55,-0.000138783,-1.39909e-09
2.56,-0.000138783,-1.40459e-09
2.57,-0.000138783,-1.41008e-09
2.58,-0.000138783,-1.41558e-09
2.59,-0.000138783,-1.42107e-09
2.6,-0.000138783,-1.42657e-09
2.61,-0.000138783,-1.43206e-09
2.62,-0.000138783,-1.43755e-09
2.63,-0.000138783,-1.44304e-09
2.64,-0.000138783,-1.44853e-09
2.65,-0.000138783,-1.45401e-09
2.66,-0.000138783,-1.45948e-09
2.67,-0.000138783,-1.46496e-09
2.68,-0.000138783,-1.47043e-09
2.69,-0.000138783,-1.4759e-09
2.7,-0.000138783,-1.48137e-09
2.71,-0.000138783,-1.48684e-09
2.72,-0.000138783,-1.49231e-09
2.73,-0.000138783,-1.49778e-09
2.74,-0.000138783,-1.50326e-09
2.75,-0.000138783,-1.50874e-09
2.76,-0.000138783,-1.51422e-09
2.77,-0.000138783,-1.51971e-09
2.78,-0.000138783,-1.52521e-09
2.79,-0.000138783,-1.53071e-09
2.8,-0.000138783,-1.53621e-09
2.81,-0.000138783,-1.54172e-09
2.82,-0.000138783,-1.54722e-09
2.83,-0.000138783,-1.55273e-09
2.84,-0.000138783,-1.55823e-09
2.85,-0.000138783,-1.56374e-09
2.86,-0.000138783,-1.56924e-09
2.87,-0.000138783,-1.57473e-09
2.88,-0.000138783,-1.58023e-09
2.89,-0.000138783,-1.58572e-09
2.9,-0.000138783,-1.5912e-09
2.91,-0.000138783,-1.59668e-09
2.92,-0.000138783,-1.60216e-09
2.93,-0.000138783,-1.60764e-09
2.94,-0.000138783,-1.61312e-09
2.95,-0.000138783,-1.6186e-09
2.96,-0.000138783,-1.62407e-09
2.97,-0.000138783,-1.62955e-09
2.98,-0.000138783,-1.63504e-09
2.99,-0.000138783,-1.64052e-09
3,-0.000138783,-1.64601e-09
3.01,-0.000138783,-1.65151e-09
3.02,-0.000138783,-1.657e-09
3.03,-0.000138783,-1.6625e-09
3.04,-0.000138783,-1.668e-09
3.05,-0.000138783,-1.67351e-09
3.06,-0.000138783,-1.67901e-09
3.07,-0.000138783,-1.68451e-09
3.08,-0.000138783,-1.69001e-09
3.09,-0.000138783,-1.69551e-09
3.1,-0.000138783,-1.701e-09
3.11,-0.000138783,-1.70649e-09
3.12,-0.000138783,-1.71198e-09
3.13,-0.000138783,-1.71746e-09
3.14,-0.000138783,-1.72294e-09
3.15,-0.000138783,-1.72841e-09
3.16,-0.000138783,-1.73388e-09
3.17,-0.000138783,-1.73935e-09
3.18,-0.000138783,-1.74482e-09
3.19,-0.000138783,-1.75029e-09
3.2,-0.000138783,-1.75575e-09
3.21,-0.000138783,-1.76123e-09
3.22,-0.000138783,-1.7667e-09
3.23,-0.000138783,-1.77218e-09
3.24,-0.000138783,-1.77766e-09
3.25,-0.000138783,-1.78314e-09
3.26,-0.000138783,-1.78863e-09
3.27,-0.000138783,-1.79412e-09
3.28,-0.000138783,-1.79961e-09
3.29,-0.000138783,-1.80511e-09
3.3,-0.000138783,-1.81061e-09
3.31,-0.000138783,-1.8161e-09
3.32,-0.000138783,-1.8216e-09
3.33,-0.000138783,-1.8271e-09
3.34,-0.000138783,-1.83259e-09
3.35,-0.000138783,-1.83808e-09
3.36,-0.000138783,-1.84357e-09
3.37,-0.000138783,-1.84906e-09
3.38,-0.000138783,-1.85454e-09
3.39,-0.000138783,-1.86002e-09
3.4,-0.000138783,-1.8655e-09
3.41,-0.000138783,-1.87097e-09
3.42,-0.000138783,-1.87645e-09
3.43,-0.000138783,-1.88192e-09
3.44,-0.000138783,-1.8874e-09
3.45,-0.000138783,-1.89288e-09
3.46,-0.000138783,-1.89836e-09
3.47,-0.000138783,-1.90384e-09
3.48,-0.000138783,-1.90933e-09
3.49,-0.000138783,-1.91483e-09
3.5,-0.000138783,-1.92032e-09
3.51,-0.000138783,-1.92582e-09
3.52,-0.000138783,-1.93132e-09
3.53,-0.000138783,-1.93683e-09
3.54,-0.000138783,-1.94234e-09
3.55,-0.000138783,-1.94784e-09
3.56,-0.000138783,-1.95334e-09
3.57,-0.000138783,-1.95885e-09
3.58,-0.000138783,-1.96435e-09
3.59,-0.000138783,-1.96985e-09
3.6,-0.000138783,-1.97534e-09
3.61,-0.000138783,-1.98083e-09
3.62,-0.000138783,-1.98632e-09
3.63,-0.000138783,-1.9918e-09
3.64,-0.000138783,-1.99728e-09
3.65,-0.000138783,-2.00275e-09
3.66,-0.000138783,-2.00822e-09
3.67,-0.000138783,-2.0137e-09
3.68,-0.000138783,-2.01917e-09
3.69,-0.000138783,-2.02464e-09
3.7,-0.000138783,-2.03012e-09
3.71,-0.000138783,-2.0356e-09
3.72,-0.000138783,-2.04108e-09
3.73,-0.000138783,-2.04657e-09
3.74,-0.000138783,-2.05206e-09
3.75,-0.000138783,-2.05755e-09
3.76,-0.000138783,-2.06305e-09
3.77,-0.000138783,-2.06854e-09
3.78,-0.000138783,-2.07404e-09
3.79,-0.000138783,-2.07954e-09
3.8,-0.000138783,-2.08504e-09
3.81,-0.000138783,-2.09053e-09
3.82,-0.000138783,-2.09603e-09
3.83,-0.000138783,-2.10152e-09
3.84,-0.000138783,-2.107e-09
3.85,-0.000138783,-2.11248e-09
3.86,-0.000138783,-2.11796e-09
3.87,-0.000138783,-2.12344e-09
3.88,-0.000138783,-2.12891e-09
3.89,-0.000138783,-2.13438e-09
3.9,-0.000138783,-2.13984e-09
3.91,-0.000138783,-2.14531e-09
3.92,-0.000138783,-2.15078e-09
3.93,-0.000138783,-2.15626e-09
3.94,-0.000138783,-2.16173e-09
3.95,-0.000138783,-2.16721e-09
3.96,-0.000138783,-2.17269e-09
3.97,-0.000138783,-2.17818e-09
3.98,-0.000138783,-2.18367e-09
3.99,-0.000138783,-2.18917e-09
4,-0.000138783,-2.19467e-09
4.01,-0.000138783,-2.20017e-09
4.02,-0.000138783,-2.20567e-09
4.03,-0.000138783,-2.21118e-09
4.04,-0.000138783,-2.21668e-09
4.05,-0.000138783,-2.22218e-09
4.06,-0.000138783,-2.22768e-09
4.07,-0.000138783,-2.23318e-09
4.08,-0.000138783,-2.23867e-09
4.09,-0.000138783,-2.24416e-09
4.1,-0.000138783,-2.24965e-09
4.11,-0.000138783,-2.25513e-09
4.12,-0.000138783,-2.26061e-09
4.13,-0.000138783,-2.26609e-09
4.14,-0.000138783,-2.27156e-09
4.15,-0.000138783,-2.27704e-09
4.16,-0.000138783,-2.28252e-09
4.17,-0.000138783,-2.288e-09
4.18,-0.000138783,-2.29348e-09
4.19,-0.000138783,-2.29896e-09
4.2,-0.000138783,-2.30445e-09
4.21,-0.000138783,-2.30994e-09
4.22,-0.000138783,-2.31544e-09
4.23,-0.000138783,-2.32094e-09
4.24,-0.000138783,-2.32644e-09
4.25,-0.000138783,-2.33194e-09
4.26,-0.000138783,-2.33744e-09
4.27,-0.000138783,-2.34295e-09
4.28,-0.000138783,-2.34845e-09
4.29,-0.000138783,-2.35395e-09
4.3,-0.000138783,-2.35944e-09
4.31,-0.000138783,-2.36493e-09
4.32,-0.000138783,-2.37042e-09
4.33,-0.000138783,-2.37591e-09
4.34,-0.000138783,-2.38139e-09
4.35,-0.000138783,-2.38686e-09
4.36,-0.000138783,-2.39234e-09
4.37,-0.000138783,-2.39781e-09
4.38,-0.000138783,-2.40328e-09
4.39,-0.000138783,-2.40875e-09
4.4,-0.000138783,-2.41422e-09
4.41,-0.000138783,-2.41969e-09
4.42,-0.000138783,-2.42516e-09
4.43,-0.000138783,-2.43064e-09
4.44,-0.000138783,-2.43612e-09
4.45,-0.000138783,-2.4416e-09
4.46,-0.000138783,-2.44709e-09
4.47,-0.000138783,-2.45258e-09
4.48,-0.000138783,-2.45807e-09
4.49,-0.000138783,-2.46356e-09
4.5,-0.000138783,-2.46906e-09
4.51,-0.000138783,-2.47456e-09
4.52,-0.000138783,-2.48005e-09
4.53,-0.000138783,-2.48555e-09
4.54,-0.000138783,-2.49104e-09
4.55,-0.000138783,-2.49654e-09
4.56,-0.000138783,-2.50203e-09
4.57,-0.000138783,-2.50751e-09
4.58,-0.000138783,-2.51299e-09
4.59,-0.000138783,-2.51847e-09
4.6,-0.000138783,-2.52395e-09
4.61,-0.000138783,-2.52943e-09
4.62,-0.000138783,-2.5349e-09
4.63,-0.000138783,-2.54038e-09
4.64,-0.000138783,-2.54585e-09
4.65,-0.000138783,-2.55133e-09
4.66,-0.000138783,-2.55681e-09
4.67,-0.000138783,-2.56229e-09
4.68,-0.000138783,-2.56778e-09
4.69,-0.000138783,-2.57327e-09
4.7,-0.000138783,-2.57876e-09
4.71,-0.000138783,-2.58426e-09
4.72,-0.000138783,-2.58976e-09
4.73,-0.000138783,-2.59527e-09
4.74,-0.000138783,-2.60077e-09
4.75,-0.000138783,-2.60628e-09
4.76,-0.000138783,-2.61178e-09
4.77,-0.000138783,-2.61729e-09
4.78,-0.000138783,-2.62279e-09
4.79,-0.000138783,-2.62829e-09
4.8,-0.000138783,-2.63379e-09
4.81,-0.000138783,-2.63928e-09
4.82,-0.000138783,-2.64477e-09
4.83,-0.000138783,-2.65025e-09
4.84,-0.000138783,-2.65573e-09
4.85,-0.000138783,-2.66121e-09
4.86,-0.000138783,-2.66668e-09
4.87,-0.000138783,-2.67216e-09
4.88,-0.000138783,-2.67763e-09
4.89,-0.000138783,-2.6831e-09
4.9,-0.000138783,-2.68858e-09
4.91,-0.000138783,-2.69406e-09
4.92,-0.000138783,-2.69954e-09
4.93,-0.000138783,-2.70503e-09
4.94,-0.000138783,-2.71052e-09
4.95,-0.000138783,-2.71601e-09
4.96,-0.000138783,-2.7215e-09
4.97,-0.000138783,-2.727e-09
4.98,-0.000138783,-2.7325e-09
4.99,-0.000138783,-2.738e-09
5,-0.000138783,-2.7435e-09
